flown_key;customer_key;leg_origin_key;leg_dest_key;trip_origin_key;trip_dest_key;flight_key;fare_class_key;channel_key;fare;miles;minutes_late;ticket_number
120;3;2;20;2;20;3;4;3;30;159;0;789
118;3;4;3;4;16;6;4;1;310;1634;0;6936
118;3;3;16;4;16;97;1;3;177;930;0;6936
128;3;16;4;16;4;17;1;1;39;204;0;6936
114;3;6;9;6;3;20;4;3;26;138;0;8760
114;3;9;3;6;3;75;3;3;48;254;0;8760
119;3;3;6;3;6;13;2;2;123;645;0;8760
123;3;10;6;10;6;7;3;1;255;1342;0;1948
130;3;6;10;6;10;16;2;3;266;1402;38;1948
134;3;6;7;6;7;2;1;3;204;1072;0;7450
142;3;7;6;7;6;20;3;3;184;970;0;7450
155;3;9;5;9;4;14;1;4;379;1993;0;826
155;3;5;4;9;4;77;3;2;245;1287;0;826
165;3;4;9;4;9;2;2;3;272;1432;0;826
135;3;20;19;20;19;18;3;1;331;1740;0;2346
139;3;19;2;19;20;8;2;4;110;581;0;2346
139;3;2;20;19;20;85;3;3;150;789;0;2346
164;3;19;12;19;12;18;3;1;130;686;62;1265
167;3;12;19;12;19;7;1;4;257;1354;0;1265
161;3;9;13;9;13;2;2;3;294;1547;0;8770
165;3;13;9;13;9;8;2;1;375;1975;0;8770
164;3;5;16;5;13;14;2;1;184;968;0;9610
164;3;16;13;5;13;95;3;2;327;1723;0;9610
174;3;13;5;13;5;16;3;3;245;1292;0;9610
180;3;7;13;7;9;14;4;1;221;1161;0;9844
180;3;13;9;7;9;86;1;2;329;1733;0;9844
184;3;9;11;9;7;9;1;4;7;37;0;9844
184;3;11;7;9;7;86;3;2;338;1780;0;9844
177;3;13;11;13;11;6;4;2;136;715;0;5788
182;3;11;13;11;13;13;3;1;269;1415;0;5788
179;3;14;9;14;9;19;1;2;333;1755;0;5411
182;3;9;17;9;14;12;3;1;148;778;42;5411
182;3;17;14;9;14;95;4;4;120;634;0;5411
14;4;15;9;15;9;16;1;1;136;715;63;7502
23;4;9;15;9;15;10;3;4;373;1963;0;7502
16;4;19;16;19;16;15;2;1;129;677;0;697
24;4;16;19;16;19;8;3;1;75;394;0;697
43;4;1;13;1;13;18;1;2;14;72;0;2496
44;4;13;7;13;1;9;1;1;33;174;0;2496
44;4;7;1;13;1;83;1;1;354;1865;0;2496
31;4;17;19;17;19;8;3;3;60;315;0;4079
35;4;19;17;19;17;4;4;4;136;716;0;4079
37;4;20;19;20;19;6;1;3;374;1968;0;5433
45;4;19;5;19;20;1;4;2;21;110;0;5433
45;4;5;20;19;20;89;2;2;186;978;0;5433
39;4;8;6;8;6;17;1;1;119;625;0;7434
40;4;6;8;6;8;2;2;3;338;1781;0;7434
46;4;2;8;2;8;5;3;2;344;1808;0;9216
56;4;8;3;8;2;15;3;4;348;1832;0;9216
56;4;3;2;8;2;76;3;3;339;1784;0;9216
80;4;12;19;12;15;9;2;3;338;1779;0;6333
80;4;19;15;12;15;75;4;2;26;135;0;6333
88;4;15;12;15;12;13;3;4;325;1708;0;6333
59;4;13;5;13;17;4;3;3;42;223;0;6670
59;4;5;17;13;17;93;4;3;323;1700;0;6670
66;4;17;10;17;13;19;3;4;217;1143;0;6670
66;4;10;13;17;13;80;3;2;26;139;0;6670
81;4;3;5;3;5;10;2;2;301;1583;0;1762
88;4;5;2;5;3;2;1;3;240;1263;0;1762
88;4;2;3;5;3;89;3;2;335;1765;0;1762
83;4;3;9;3;9;5;4;4;330;1738;0;2028
89;4;9;3;9;3;12;1;4;370;1945;52;2028
105;4;17;9;17;9;12;4;1;117;618;0;4945
114;4;9;17;9;17;7;2;1;176;925;0;4945
101;4;19;1;19;1;19;1;2;128;674;0;512
108;4;1;17;1;19;16;3;3;360;1894;0;512
108;4;17;19;1;19;77;3;3;137;722;0;512
121;4;1;12;1;12;11;4;2;45;235;0;4893
125;4;12;1;12;1;20;1;4;78;411;0;4893
108;4;12;11;12;11;6;3;3;280;1473;0;8815
114;4;11;12;11;12;3;3;2;340;1791;0;8815
109;4;18;2;18;19;24;1;3;35;183;0;9755
109;4;2;19;18;19;80;4;3;339;1782;0;9755
117;4;19;8;19;18;24;1;3;254;1339;74;9755
117;4;8;18;19;18;79;2;1;292;1537;62;9755
143;4;14;19;14;19;8;2;4;246;1295;0;1699
151;4;19;14;19;14;9;1;1;306;1613;0;1699
145;4;7;2;7;1;14;1;2;173;908;0;7409
145;4;2;1;7;1;92;2;1;327;1719;0;7409
148;4;1;7;1;7;13;2;1;304;1600;0;7409
140;4;8;10;8;10;15;4;1;241;1270;0;9879
141;4;10;11;10;8;14;2;4;239;1259;0;9879
141;4;11;8;10;8;88;2;2;370;1946;0;9879
139;4;8;10;8;20;17;2;2;296;1560;0;5447
139;4;10;20;8;20;86;4;3;234;1231;0;5447
140;4;20;8;20;8;18;1;3;257;1351;25;5447
154;4;13;11;13;11;14;4;4;41;214;0;9995
158;4;11;13;11;13;5;2;1;85;448;74;9995
170;4;8;2;8;2;13;1;1;290;1528;0;2127
171;4;2;8;2;8;13;1;3;24;124;0;2127
184;4;5;15;5;16;7;1;1;7;39;0;7135
184;4;15;16;5;16;98;2;3;135;709;0;7135
177;4;18;14;18;14;11;4;2;41;217;0;240
6;5;9;12;9;18;3;3;3;286;1507;0;721
6;5;12;18;9;18;98;1;1;227;1194;0;721
14;5;18;19;18;9;22;3;1;303;1593;0;721
14;5;19;9;18;9;83;3;4;177;930;0;721
26;5;14;18;14;20;13;1;4;284;1493;0;3225
26;5;18;20;14;20;90;1;3;218;1147;0;3225
36;5;20;14;20;14;12;3;3;265;1396;0;3225
21;5;14;9;14;8;6;3;2;59;309;0;4875
21;5;9;8;14;8;93;2;3;39;204;19;4875
25;5;8;1;8;14;14;4;3;313;1648;0;4875
25;5;1;14;8;14;85;4;2;179;940;0;4875
42;5;7;12;7;12;5;1;3;219;1151;0;8299
52;5;12;7;12;7;13;1;4;2;8;0;8299
58;5;5;6;5;6;16;3;3;368;1938;0;2280
67;5;6;5;6;5;19;2;3;281;1478;0;2280
57;5;8;2;8;14;15;1;2;94;495;0;8166
57;5;2;14;8;14;86;4;1;14;75;0;8166
63;5;14;13;14;8;15;1;3;356;1872;0;8166
63;5;13;8;14;8;81;2;3;339;1784;0;8166
72;5;19;13;19;7;5;2;1;143;751;0;6402
72;5;13;7;19;7;78;4;1;62;324;0;6402
78;5;7;9;7;19;20;4;2;139;732;0;6402
78;5;9;19;7;19;86;1;3;374;1968;30;6402
59;5;14;1;14;11;16;4;2;15;79;0;8503
59;5;1;11;14;11;81;1;2;344;1811;0;8503
65;5;11;3;11;14;18;4;3;122;640;0;8503
65;5;3;14;11;14;86;4;3;295;1554;0;8503
64;5;15;2;15;12;12;4;3;64;336;0;8800
64;5;2;12;15;12;83;2;2;266;1398;0;8800
73;5;12;15;12;15;13;3;1;1;3;0;8800
80;5;14;19;14;19;13;4;1;262;1380;0;5979
88;5;19;14;19;14;9;2;3;307;1614;0;5979
98;5;17;19;17;18;6;4;4;210;1106;0;565
98;5;19;18;17;18;87;4;1;277;1456;0;565
99;5;18;8;18;17;10;3;3;144;756;0;565
99;5;8;17;18;17;78;3;3;144;756;0;565
98;5;16;19;16;19;15;3;4;148;778;0;9964
100;5;19;16;19;16;7;4;2;76;402;0;9964
111;5;2;1;2;1;13;1;2;89;467;0;6811
114;5;1;11;1;2;3;4;3;332;1745;0;6811
114;5;11;2;1;2;91;4;4;378;1991;0;6811
117;5;9;8;9;10;1;2;4;351;1849;0;8554
117;5;8;10;9;10;92;4;2;69;362;0;8554
127;5;10;3;10;9;7;1;4;264;1387;0;8554
127;5;3;9;10;9;87;3;1;87;458;0;8554
125;5;5;10;5;10;18;4;3;191;1006;0;2568
129;5;10;5;10;5;3;3;2;73;383;0;2568
112;5;9;3;9;3;2;1;3;177;931;0;3553
113;5;3;11;3;9;8;1;1;1;6;65;3553
113;5;11;9;3;9;97;3;4;44;231;0;3553
115;5;20;7;20;7;5;2;2;359;1888;0;5072
117;5;7;14;7;20;5;4;1;108;569;0;5072
117;5;14;20;7;20;93;3;1;93;492;0;5072
121;5;18;10;18;10;18;1;3;355;1871;0;671
126;5;10;18;10;18;13;1;2;327;1723;0;671
141;5;8;5;8;4;23;2;4;265;1396;0;3987
141;5;5;4;8;4;94;4;2;35;185;0;3987
144;5;4;8;4;8;6;1;1;314;1650;0;3987
164;5;16;10;16;10;11;1;1;298;1569;0;5600
167;5;10;8;10;16;16;2;4;114;598;39;5600
167;5;8;16;10;16;84;4;4;299;1572;0;5600
166;5;14;16;14;19;19;1;1;295;1552;0;4803
166;5;16;19;14;19;92;1;1;88;461;0;4803
171;5;19;14;19;14;1;2;1;138;725;0;4803
166;5;13;16;13;16;15;3;1;22;115;0;1723
172;5;16;13;16;13;19;4;3;231;1214;0;1723
170;5;18;20;18;17;2;2;4;61;323;40;3503
170;5;20;17;18;17;92;3;2;276;1453;0;3503
176;5;17;14;17;18;16;3;1;1;4;0;3503
176;5;14;18;17;18;78;1;2;255;1340;0;3503
183;5;18;16;18;3;2;1;3;174;917;0;5328
183;5;16;3;18;3;91;4;4;43;224;0;5328
12;6;15;9;15;20;13;1;3;315;1656;0;6747
12;6;9;20;15;20;82;1;2;17;90;0;6747
17;6;20;15;20;15;11;4;3;305;1604;0;6747
28;6;16;9;16;9;8;4;2;246;1297;0;3513
29;6;9;6;9;16;22;4;1;326;1716;0;3513
29;6;6;16;9;16;91;4;2;11;60;0;3513
18;6;4;5;4;19;4;1;4;274;1443;0;2206
18;6;5;19;4;19;88;4;4;335;1765;0;2206
27;6;19;1;19;4;21;2;2;216;1138;66;2206
27;6;1;4;19;4;99;1;4;120;631;0;2206
47;6;14;15;14;15;8;1;2;339;1784;0;274
55;6;15;14;15;14;1;4;3;244;1284;91;274
45;6;6;8;6;8;8;1;4;174;918;0;3410
53;6;8;6;8;6;14;3;1;39;205;0;3410
57;6;1;12;1;18;25;3;2;17;87;0;7344
57;6;12;18;1;18;78;3;3;60;315;0;7344
63;6;18;13;18;1;22;4;1;188;988;0;7344
63;6;13;1;18;1;76;1;4;105;553;0;7344
51;6;18;6;18;6;9;4;4;317;1670;0;7123
54;6;6;18;6;18;14;4;2;278;1464;0;7123
75;6;19;4;19;20;8;3;1;48;254;0;191
75;6;4;20;19;20;93;3;2;16;83;31;191
78;6;20;5;20;19;25;4;3;289;1521;0;191
78;6;5;19;20;19;92;3;1;147;773;0;191
67;6;16;13;16;13;12;4;2;113;595;0;5975
71;6;13;14;13;16;6;4;3;23;119;0;5975
71;6;14;16;13;16;86;2;2;271;1426;0;5975
87;6;11;13;11;1;22;3;3;97;509;0;7400
87;6;13;1;11;1;96;4;4;286;1506;0;7400
89;6;1;11;1;11;6;2;1;299;1573;0;7400
92;6;20;7;20;7;13;3;4;312;1644;0;9751
102;6;7;12;7;20;17;1;4;57;300;0;9751
102;6;12;20;7;20;81;3;2;256;1348;67;9751
79;6;3;18;3;18;16;4;2;10;54;0;4715
89;6;18;3;18;3;14;3;3;314;1653;0;4715
93;6;7;5;7;5;2;2;4;363;1911;77;8353
95;6;5;20;5;7;19;2;3;268;1411;0;8353
95;6;20;7;5;7;75;1;4;2;9;0;8353
102;6;17;15;17;6;21;1;4;299;1572;0;9668
102;6;15;6;17;6;95;2;3;146;771;0;9668
111;6;6;19;6;17;13;2;1;10;50;0;9668
111;6;19;17;6;17;93;1;1;328;1727;0;9668
115;6;16;18;16;2;24;1;1;219;1150;0;8264
115;6;18;2;16;2;87;3;4;92;486;0;8264
116;6;2;20;2;16;8;1;3;7;35;0;8264
116;6;20;16;2;16;75;4;3;333;1751;0;8264
134;6;4;8;4;8;15;4;2;204;1072;0;1244
135;6;8;9;8;4;4;1;1;101;529;0;1244
135;6;9;4;8;4;79;4;3;158;830;0;1244
138;6;12;6;12;7;12;3;2;42;223;0;1773
138;6;6;7;12;7;80;4;2;195;1025;0;1773
147;6;7;15;7;12;13;3;3;374;1967;34;1773
147;6;15;12;7;12;85;2;2;97;512;0;1773
133;6;14;11;14;4;17;2;1;172;904;0;4077
133;6;11;4;14;4;79;4;1;80;419;0;4077
140;6;4;14;4;14;4;3;2;290;1525;0;4077
145;6;13;3;13;15;4;1;4;94;496;0;6516
145;6;3;15;13;15;82;3;1;297;1564;0;6516
152;6;15;13;15;13;1;3;3;231;1217;0;6516
154;6;15;2;15;2;1;4;4;198;1040;0;199
157;6;2;5;2;15;5;4;1;69;362;0;199
157;6;5;15;2;15;76;2;2;225;1184;35;199
149;6;18;19;18;19;11;1;4;143;753;0;8266
152;6;19;11;19;18;2;1;4;266;1400;86;8266
152;6;11;18;19;18;85;2;3;177;930;0;8266
160;6;15;5;15;5;5;4;2;311;1638;0;8237
170;6;5;15;5;15;20;2;1;112;592;0;8237
170;6;8;5;8;1;16;4;3;180;945;0;6957
170;6;5;1;8;1;86;1;4;302;1589;0;6957
171;6;1;8;1;8;7;1;1;253;1330;0;6957
175;6;5;18;5;16;20;3;3;77;403;0;6040
175;6;18;16;5;16;75;4;1;172;906;0;6040
184;6;16;5;16;5;19;1;4;345;1817;0;6040
184;6;16;17;16;8;4;1;4;43;228;0;7249
184;6;17;8;16;8;89;4;2;81;428;0;7249
26;7;15;2;15;2;13;4;2;35;184;0;833
27;7;2;15;2;15;20;2;2;41;217;0;833
19;7;2;19;2;17;12;1;4;152;798;0;1966
19;7;19;17;2;17;84;4;1;249;1311;0;1966
24;7;17;15;17;2;10;1;1;357;1878;0;1966
24;7;15;2;17;2;84;1;2;186;977;0;1966
31;7;11;2;11;20;5;4;1;349;1838;0;2332
31;7;2;20;11;20;82;4;1;113;595;0;2332
36;7;20;11;20;11;15;3;4;75;396;0;2332
25;7;5;4;5;2;16;4;3;27;142;20;1708
25;7;4;2;5;2;89;3;3;293;1542;0;1708
33;7;2;5;2;5;3;4;3;337;1774;0;1708
37;7;9;5;9;14;17;4;2;167;881;0;2748
37;7;5;14;9;14;85;1;3;330;1738;0;2748
41;7;14;9;14;9;6;4;3;260;1366;0;2748
62;7;16;3;16;6;22;2;3;59;310;0;891
62;7;3;6;16;6;94;3;2;348;1833;0;891
67;7;6;16;6;16;7;4;3;84;442;0;891
73;7;20;18;20;18;19;4;3;146;768;0;9722
77;7;18;5;18;20;25;2;2;238;1252;0;9722
77;7;5;20;18;20;79;4;3;30;159;0;9722
75;7;15;7;15;20;5;1;1;17;88;0;410
75;7;7;20;15;20;99;4;2;189;996;0;410
78;7;20;15;20;15;1;2;4;73;382;0;410
62;7;19;5;19;5;14;3;1;279;1466;0;2978
72;7;5;9;5;19;17;3;2;176;927;0;2978
72;7;9;19;5;19;89;1;1;296;1559;0;2978
94;7;20;19;20;1;13;3;3;112;592;0;8825
94;7;19;1;20;1;93;2;2;179;943;0;8825
99;7;1;18;1;20;15;4;1;268;1411;0;8825
99;7;18;20;1;20;90;3;3;202;1061;0;8825
99;7;5;9;5;9;7;4;3;206;1086;0;2518
104;7;9;16;9;5;9;4;2;14;75;0;2518
104;7;16;5;9;5;95;1;3;345;1814;0;2518
85;7;20;19;20;19;13;4;2;324;1703;0;8928
93;7;19;16;19;20;21;2;2;209;1098;0;8928
93;7;16;20;19;20;88;3;3;211;1108;0;8928
100;7;15;3;15;8;24;1;4;139;731;0;3773
100;7;3;8;15;8;90;2;4;278;1464;0;3773
110;7;8;15;8;15;1;2;3;30;156;0;3773
101;7;12;6;12;19;24;1;3;149;783;0;7149
101;7;6;19;12;19;80;1;2;264;1391;4;7149
107;7;19;12;19;12;16;4;1;207;1089;0;7149
102;7;10;11;10;13;24;4;4;70;367;0;4204
102;7;11;13;10;13;99;3;1;371;1951;0;4204
106;7;13;19;13;10;14;1;4;6;29;0;4204
106;7;19;10;13;10;94;1;2;264;1390;3;4204
130;7;17;16;17;16;4;1;3;74;387;0;6814
133;7;16;14;16;17;8;3;2;162;850;0;6814
133;7;14;17;16;17;78;4;1;354;1861;0;6814
140;7;5;19;5;19;2;3;1;239;1259;0;2725
147;7;19;5;19;5;10;3;4;189;996;0;2725
125;7;8;9;8;9;5;1;2;194;1021;0;4682
128;7;9;8;9;8;3;4;1;253;1329;0;4682
149;7;1;5;1;18;8;1;4;46;242;0;5368
149;7;5;18;1;18;93;1;4;253;1333;0;5368
154;7;18;16;18;1;4;1;4;249;1311;0;5368
154;7;16;1;18;1;95;4;4;140;735;0;5368
163;7;16;1;16;1;19;2;2;91;477;0;4310
172;7;1;16;1;16;1;4;1;313;1646;0;4310
154;7;15;16;15;19;7;3;1;171;899;0;9879
154;7;16;19;15;19;86;1;1;196;1033;0;9879
162;7;19;17;19;15;1;3;1;124;651;0;9879
162;7;17;15;19;15;94;2;1;131;687;0;9879
162;7;4;15;4;20;2;3;2;308;1621;32;3138
162;7;15;20;4;20;77;2;2;184;966;0;3138
169;7;20;2;20;4;16;2;3;39;203;0;3138
169;7;2;4;20;4;90;1;1;86;452;0;3138
182;7;3;2;3;2;2;1;2;301;1584;0;7748
19;8;3;7;3;10;6;4;4;101;529;23;3750
19;8;7;10;3;10;76;2;3;180;947;0;3750
27;8;10;3;10;3;3;2;4;175;921;23;3750
12;8;9;1;9;1;15;3;4;24;128;0;7332
22;8;1;4;1;9;9;4;1;137;719;0;7332
22;8;4;9;1;9;92;1;4;253;1329;0;7332
25;8;2;17;2;17;16;4;3;67;353;0;1684
30;8;17;2;17;2;13;2;4;275;1447;0;1684
